id,name,image,description,uses,how_to_get,item_type,game_id,cap
tenno_sho_spring_winner_s_sash,Tenno Sho (Spring) Winner's Sash,tenno_sho_spring_winner_s_sash.png,Proof of winning the long G1 Tenno Sho (Spring). Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Tenno Sho (Spring) race|Bought with Clovers|Bought in Tazuna's Daily Shop|Mission reward,,74,
nhk_mile_c_winner_s_sash,NHK Mile C. Winner's Sash,nhk_mile_c_winner_s_sash.png,Proof of winning the classic-year G1 NHK Mile Cup. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the NHK Mile Cup race|Bought with Silver Horseshoes|Bought in Tazuna's Daily Shop|Mission reward,,75,
victoria_mile_winner_s_sash,Victoria Mile Winner's Sash,victoria_mile_winner_s_sash.png,Proof of winning the mile G1 Victoria Mile. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Victoria Mile race|Bought with Friend Points|Bought in Tazuna's Daily Shop|Mission reward,,76,
japanese_oaks_winner_s_sash,Japanese Oaks Winner's Sash,japanese_oaks_winner_s_sash.png,Proof of winning the classic-year G1 Japanese Oaks. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Oaks race|Bought with Clovers|Bought in Tazuna's Daily Shop|Mission reward,,77,
japanese_derby_winner_s_sash,Japanese Derby Winner's Sash,japanese_derby_winner_s_sash.png,Proof of winning the classic-year G1 Japanese Derby. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Japan Derby race|Bought with Friend Points|Bought in Tazuna's Daily Shop|Mission reward,,78,
yasuda_kinen_winner_s_sash,Yasuda Kinen Winner's Sash,yasuda_kinen_winner_s_sash.png,Proof of winning the mile G1 Yasuda Kinen. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Yasuda Kinen race|Bought with Friend Points|Bought in Tazuna's Daily Shop|Mission reward,,79,
takarazuka_kinen_winner_s_sash,Takarazuka Kinen Winner's Sash,takarazuka_kinen_winner_s_sash.png,Proof of winning the medium G1 Takarazuka Kinen. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Takarazuka Kinen race|Bought with Circle Points|Bought in Tazuna's Daily Shop|Mission reward,,80,
sprinters_s_winner_s_sash,Sprinters S. Winner's Sash,sprinters_s_winner_s_sash.png,Proof of winning the sprint G1 Sprinters Stakes. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Sprinters Stakes race|Bought with Circle Points|Bought in Tazuna's Daily Shop|Mission reward,,81,
shuka_sho_winner_s_sash,Shuka Sho Winner's Sash,shuka_sho_winner_s_sash.png,Proof of winning the classic-year G1 Shuka Sho. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Shuuka Sho race|Bought with Clovers|Bought in Tazuna's Daily Shop|Mission reward,,82,
kikuka_sho_winner_s_sash,Kikuka Sho Winner's Sash,kikuka_sho_winner_s_sash.png,Proof of winning the classic-year G1 Kikuka Sho. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Kikka Sho race|Bought with Rainbow Horseshoes|Bought with Gold Horseshoes|Bought in Tazuna's Daily Shop|Mission reward,,83,
tenno_sho_autumn_winner_s_sash,Tenno Sho (Autumn) Winner's Sash,tenno_sho_autumn_winner_s_sash.png,Proof of winning the medium G1 Tenno Sho (Autumn). Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Tenno Sho (Autumn) race|Bought with Clovers|Bought in Tazuna's Daily Shop|Mission reward,,84,
mile_ch_winner_s_sash,Mile Ch. Winner's Sash,mile_ch_winner_s_sash.png,Proof of winning the mile G1 Mile Championship. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Mile Championship race|Bought with Friend Points|Bought in Tazuna's Daily Shop|Mission reward,,85,
queen_elizabeth_ii_cup_winner_s_sash,Queen Elizabeth II Cup Winner's Sash,queen_elizabeth_ii_cup_winner_s_sash.png,Proof of winning the medium G1 Queen Elizabeth II Cup. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Queen Elizabeth Cup race|Bought with Silver Horseshoes|Bought in Tazuna's Daily Shop|Mission reward,,86,
japan_cup_winner_s_sash,Japan Cup Winner's Sash,japan_cup_winner_s_sash.png,Proof of winning the medium G1 Japan Cup. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Japan Cup race|Bought with Silver Horseshoes|Bought in Tazuna's Daily Shop|Mission reward,,87,
champions_cup_winner_s_sash,Champions Cup Winner's Sash,champions_cup_winner_s_sash.png,Proof of winning the dirt G1 Champions Cup. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Champions Cup race|Bought with Clovers|Bought in Tazuna's Daily Shop|Mission reward,,88,
hanshin_j_f_winner_s_sash,Hanshin J.F. Winner's Sash,hanshin_j_f_winner_s_sash.png,Proof of winning the junior-year G1 Hanshin J.F. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Hanshin Juvenile Fillies race|Bought with Silver Horseshoes|Bought in Tazuna's Daily Shop|Mission reward,,89,
asahi_hai_f_s_winner_s_sash,Asahi Hai F.S. Winner's Sash,asahi_hai_f_s_winner_s_sash.png,Proof of winning the junior-year G1 Asahi Hai F.S. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Asahi Hai Futurity Stakes race|Bought with Circle Points|Bought in Tazuna's Daily Shop|Mission reward,,90,
arima_kinen_winner_s_sash,Arima Kinen Winner's Sash,arima_kinen_winner_s_sash.png,Proof of winning the long G1 Arima Kinen. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Arima Kinen race|Bought with Rainbow Horseshoes|Bought with Gold Horseshoes|Bought in Tazuna's Daily Shop|Mission reward,,91,
hopeful_s_winner_s_sash,Hopeful S. Winner's Sash,hopeful_s_winner_s_sash.png,Proof of winning the junior-year G1 Hopeful Stakes. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Hopeful Stakes race|Bought with Silver Horseshoes|Bought in Tazuna's Daily Shop|Mission reward,,92,
alarm_clock,Alarm Clock,alarm_clock.png,Don't be late on race day! Lets you try a Career goal race again.,Redoing a failed objective race,Bought with Clovers|Bought in Tazuna's Daily Shop|Limited missions,,95,
daily_race_ticket,Daily Race Ticket,daily_race_ticket.png,Required to run in a Daily Race.,Participating in daily races,Automatically obtained at daily reset (5 AM Server time),,96,
legend_race_ticket,Legend Race Ticket,legend_race_ticket.png,Required to run in a Legend Race.,Participating in legend races,Automatically obtained at daily reset (5 AM Server time) during legend race events,,97,
friend_points,Friend Points,friend_points.png,Proof of friendship between trainers. Can be exchanged at the shop for various items.,Friend Pt. shop exchange,Team Trials races|Clearing daily missions|Have other trainers borrow your support cards,,98,
japan_dirt_derby_winner_s_sash,Japan Dirt Derby Winner's Sash,japan_dirt_derby_winner_s_sash.png,Proof of winning the classic-year G1 Japan Derby. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Japan Dirt Derby race|Bought with Silver Horseshoes|Bought in Tazuna's Daily Shop|Mission reward,,101,
jbc_sprint_winner_s_sash,JBC Sprint Winner's Sash,jbc_sprint_winner_s_sash.png,Proof of winning the dirt G1 JBC Sprint. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the JBC Sprint race|Bought with Circle Points|Bought in Tazuna's Daily Shop|Mission reward,,102,
jbc_classic_winner_s_sash,JBC Classic Winner's Sash,jbc_classic_winner_s_sash.png,Proof of winning the dirt G1 JBC Classic. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the JBC Classic race|Bought with Clovers|Bought in Tazuna's Daily Shop|Mission reward,,103,
jbc_ladies_classic_winner_s_sash,JBC Ladies’ Classic Winner's Sash,jbc_ladies_classic_winner_s_sash.png,Proof of winning the dirt G1 JBC Ladies' Classic. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the JBC Ladies' Classic race|Bought with Silver Horseshoes|Bought in Tazuna's Daily Shop|Mission reward,,104,
teio_sho_winner_s_sash,Teio Sho Winner's Sash,teio_sho_winner_s_sash.png,Proof of winning the dirt G1 Teio Sho. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Teio Sho race|Bought with Circle Points|Bought in Tazuna's Daily Shop|Mission reward,,105,
tokyo_daishoten_winner_s_sash,Tokyo Daishoten Winner's Sash,tokyo_daishoten_winner_s_sash.png,Proof of winning the dirt G1 Tokyo Daishoten. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Tokyo Daishoten race|Bought with Friend Points|Bought in Tazuna's Daily Shop|Mission reward,,106,
support_points,Support Points,support_points.png,A strange force capable of drawing out one's abilities. Can be used to level up Support Cards.,Increasing the level of support cards,Daily races|Limited missions|Training run reward|Training races random drop|Team Trials races|Bought with Friend Points|Bought with Rainbow Horseshoes|Bought with Gold Horseshoes|Bought with Silver Horseshoes|Bought in Tazuna's Daily Shop,,110,able of drawing out one's abilities. Can be used to level up Support Cards. ID: 110 {item_cap} 999
support_card_scout_ticket,Support Card Scout Ticket,support_card_scout_ticket.png,Used for scouting Support Cards. Can be used from the scout list.,One pull from the support card gacha,Bought with Rainbow Horseshoes|Bought with Gold Horseshoes|Bought with Silver Horseshoes|Bought with Clovers|Bought with Friend Points|Limited events|Limited missions,,111,
3_make_debut_scout_race_1,3★ Make Debut Scout Race 1,3_make_debut_scout_race_1.png,A ticket that can be used in the 3★ Guaranteed Make Debut Scout Race 1. Can be used from the scout list.,"One pull from the ★3 guaranteed ""Make Debut 1R"" character gacha",Mission reward,,113,
ssr_make_debut_scout_race_1,SSR Make Debut Scout Race 1,ssr_make_debut_scout_race_1.png,A ticket that can be used in the SSR Guaranteed Make Debut Scout. Can be used from the scout list.,"One pull from the SSR guaranteed ""Make Debut 1R"" support card gacha",Mission reward,,114,
goddess_statue,Goddess Statue,goddess_statue.png,Some say this grants the blessing of the Three Goddesses. Can be exchanged at the shop for various items.,Character shard shop exchange,Pulling characters from Gacha banners|Rare drop from training races|Limited events|Promo codes,,115,
pleasing_parfait,Pleasing Parfait,pleasing_parfait.png,Raises a runner's mood to Great. Can be used in modes such as Team Trials.,Raising the mood of a character to perfect condition,Bought in Tazuna's Daily Shop|Bought with Clovers|Limited missions,,116,
sunshine_doll,Sunshine Doll,sunshine_doll.png,Changes the weather to Sunny and track conditions to Firm. Can be used in modes such as Team Trials.,"Changing a race's weather to ""Sunny"" and the track condition to ""Good""",Bought with Clovers|Limited missions,,117,
rainfall_doll,Rainfall Doll,rainfall_doll.png,Changes the weather to Rain and track conditions to Heavy. Can be used in modes such as Team Trials.,"Changing a race's weather to ""Rainy"" and the track condition to ""Bad""",Bought with Clovers|Limited missions,,118,
inner_post_raffle_ball,Inner Post Raffle Ball,inner_post_raffle_ball.png,Moves a runner to an inner bracket (1–3). Can be used in modes such as Team Trials.,Changing your gate block to an inner block (between 1st and 3rd),Bought with Clovers|Limited missions,,119,
outer_post_raffle_ball,Outer Post Raffle Ball,outer_post_raffle_ball.png,Moves a runner to an outer bracket (6–8). Can be used in modes such as Team Trials.,Changing your gate block to an outer block (between 6th and 8th),Bought with Clovers|Limited missions,,120,
sprint_racing_shoes_10,Sprint Racing Shoes,sprint_racing_shoes_10.png,The hottest new shoe from a popular sprinting brand. Used to raise Potential Level.,Raising the awakening level of a character,Winning short-distance races|Bought in Tazuna's Daily Shop|Circle Item Requests|Limited missions|Limited events,,10,able of drawing out one's abilities. Can be used to level up Support Cards. ID: 110 {item_cap} 999
follow_slot_boost,Follow Slot Boost,follow_slot_boost.png,"The more, the merrier! Allows you to increase your maximum Follow count by 1.",Increasing the maximum amount of trainers you can follow by one,Bought with Friend Points,,132,
bookmark_of_reminiscence,Bookmark of Reminiscence,bookmark_of_reminiscence.png,A bookmark which lets you recall memories made with horsegirls in the past.,Unlocking one past story event (including its event-exclusive support card),Limited story event reward,,133,
club_points,Club Points,club_points.png,Proof of Club solidarity. Can be exchanged at the shop for various items.,Trainer Medal exchange,Contributing to item requests within Circles|Have other trainers borrow your representative horsegirl|Completing daily missions,,134,
2_make_debut_scout_race_1,2★+ Make Debut Scout Race 1,2_make_debut_scout_race_1.png,A ticket that can be used in 2★+ Guaranteed Make Debut Scout Race 1. Can be used from the scout list.,"One pull from the ★2 or above guaranteed ""Make Debut 1R"" character gacha",Mission reward|Limited events,,135,
sr_make_debut_scout_race_1,SR+ Make Debut Scout Race 1,sr_make_debut_scout_race_1.png,A ticket that can be used in SR+ Guaranteed Make Debut Scout Race 1. Can be used from the scout list.,"One pull from the SR or above guaranteed ""Make Debut 1R"" support card gacha",Bought with Rainbow Horseshoes|Bought with Gold Horseshoes|Bought with Silver Horseshoes|Limited events|Limited mission reward,,136,
umabako_2_3_voucher,Umabako 2 3★ Voucher,umabako_2_3_voucher.png,Can be exchanged for a 3★ trainee of your choice from the list.,Obtaining a ★3 character of your choice from the Umabako 2 character pool,Redeeming promo codes of all 4 blu-rays of the Uma Musume anime (season 2),,140,
half_anniversary_ssr_voucher,Half Anniversary SSR Voucher,half_anniversary_ssr_voucher.png,Can be exchanged for an SSR Support Card of your choice from the list.,Obtaining an SSR support card of your choice from the Half Anniversary support card pool,Half Anniversary limited missions,,141,
rainbow_uncap_crystal,Rainbow Uncap Crystal,rainbow_uncap_crystal.png,A rainbow gem capable of tapping into hidden potential. Uncaps an SSR Support Card.,Limit Breaking an SSR Support Card once (アイテム tab on the uncap screen),Limited events|Combining 20 Rainbow Limit Break Fragments,,144,able of tapping into hidden potential. Uncaps an SSR Support Card. ID: 144 {item_cap} 99
gold_uncap_crystal,Gold Uncap Crystal,gold_uncap_crystal.png,A gold gem capable of tapping into hidden potential. Uncaps an SR Support Card.,Limit Breaking an SR Support Card once (アイテム tab on the uncap screen),Limited events|Combining 20 Gold Limit Break Fragments,,145,able of tapping into hidden potential. Uncaps an SR Support Card. ID: 145 {item_cap} 99
rainbow_crystal_shard,Rainbow Crystal Shard,rainbow_crystal_shard.png,Fragments of a rainbow gem capable of tapping into hidden potential. Can be exchanged at the shop for a Rainbow Uncap Crystal.,Combining to create Rainbow Limit Break Crystals (20 fragments for 1 crystal),Limited events,,149,able of tapping into hidden potential. Can be exchanged at the shop for a Rainbow Uncap Crystal. ID: 149 {item_cap} 99
gold_crystal_shard,Gold Crystal Shard,gold_crystal_shard.png,Fragments of a gold gem capable of tapping into hidden potential. Can be exchanged at the shop for a Gold Uncap Crystal.,Combining to create Gold Limit Break Crystals (20 fragments for 1 crystal),Limited events|Limited missions,,150,able of tapping into hidden potential. Can be exchanged at the shop for a Gold Uncap Crystal. ID: 150 {item_cap} 99
3_make_debut_scout_race_2,3★ Make Debut Scout Race 2,3_make_debut_scout_race_2.png,"A ticket that can be used for scouting Trainees released before Oct 31, 2025. Can be used from the scout list.","One pull from the ★3 guaranteed ""Make Debut 2R"" character gacha",Limited events|Promo codes,,152,
ssr_make_debut_scout_race_2,SSR Make Debut Scout Race 2,ssr_make_debut_scout_race_2.png,"A ticket that can be used for scouting Support Cards released before Oct 31, 2025. Can be used from the scout list.","One pull from the SSR guaranteed ""Make Debut 2R"" support card gacha",Mission reward|Promo codes|Limited events,,153,
2_make_debut_scout_race_2,2★+ Make Debut Scout Race 2,2_make_debut_scout_race_2.png,"A ticket that can be used for scouting Trainees released before Oct 31, 2025. Can be used from the scout list.","One pull from the ★2 or above guaranteed ""Make Debut 2R"" character gacha",Limited events,,154,
sr_make_debut_scout_race_2,SR+ Make Debut Scout Race 2,sr_make_debut_scout_race_2.png,"A ticket that can be used for scouting Support Cards released before Oct 31, 2025. Can be used from the scout list.","One pull from the SR or above guaranteed ""Make Debut 2R"" support card gacha",Limited events,,155,
test_coins,Test Coins,test_coins.png,A token granted for passing a Trainer Aptitude Test. Can be exchanged at the shop for various items.,Trial coin shop exchange,Playing during Trainer's Proficiency Exam events,,156,
carnival_pts,Carnival Pts,carnival_pts.png,Obtained by participating in the Racing Carnival. Can be exchanged at the shop for various items.,Carnival point shop exchange,Playing during Racing Carnival events,,159,
book_of_hints,Book of Hints,book_of_hints.png,A book with tips on running. Contributes to Hint Level.,Raising the Hint Level of a normal skill for a character,Bought with Friend Points|Limited events,,160,
textbook_of_hints,Textbook of Hints,textbook_of_hints.png,A comprehensive textbook on running. Contributes to Hint Level.,Raising the Hint Level of a normal skill for a character,Bought with Friend Points|Limited events,,161,
rare_book_of_hints,Rare Book of Hints,rare_book_of_hints.png,A lengthy book with tips on running. Contributes to Hint Level.,Raising the Hint Level of a rare skill for a character,Bought with Friend Points|Mission reward|Limited events,,162,
rare_textbook_of_hints,Rare Textbook of Hints,rare_textbook_of_hints.png,A lengthy and comprehensive textbook on running. Contributes to Hint Level.,Raising the Hint Level of a rare skill for a character,Bought with Friend Points|Mission reward|Limited events,,163,
1st_anniversary_3_voucher,1st Anniversary 3★ Voucher,1st_anniversary_3_voucher.png,Can be exchanged for a 3★ Trainee of your choice from the list.,Obtaining a ★3 character of your choice from the 1st Anniversary character pool,Limited purchase during the 1st anniversary,,164,
1st_anniversary_ssr_voucher,1st Anniversary SSR Voucher,1st_anniversary_ssr_voucher.png,Can be exchanged for an SSR Support Card of your choice from the list.,Obtaining an SSR support card of your choice from the 1st Anniversary support card pool,Limited purchase during the 1st anniversary,,165,
daily_legend_race_ticket,Daily Legend Race Ticket,daily_legend_race_ticket.png,Grants entry to a Daily Legend Race.,Participating in daily legend races,Automatically obtained at daily reset,,168,
adds_music_to_the_jukebox,Adds music to the Jukebox.,adds_music_to_the_jukebox.png,,Adding new songs to the lobby jukebox,Limited events,,170,
star_fruit,Star Fruit,star_fruit.png,A peculiar star-shaped fruit. Restores 30 TP.,30 TP refill,Limited Events,,174,
kawasaki_kinen_winner_s_sash,Kawasaki Kinen Winner's Sash,kawasaki_kinen_winner_s_sash.png,Proof of winning the dirt G1 Kawasaki Kinen. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Kawasaki Kinen race|Bought with Silver Horseshoes|Bought in Tazuna's Daily Shop,,175,
zen_nippon_junior_yushun_winner_s_sash,Zen-Nippon Junior Yushun Winner's Sash,zen_nippon_junior_yushun_winner_s_sash.png,Proof of winning the dirt G1 Zen-Nippon Junior Yushun. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Zen-Nippon Junior Yushun race|Bought in Tazuna's Daily Shop,,176,
kashiwa_kinen_winner_s_sash,Kashiwa Kinen Winner's Sash,kashiwa_kinen_winner_s_sash.png,Proof of winning the dirt G1 Kashiwa Kinen. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Kashiwa Kinen race|Bought with Friend Points|Bought in Tazuna's Daily Shop,,177,
1_5_year_anniversary_ssr_voucher,1.5-Year Anniversary SSR Voucher,1_5_year_anniversary_ssr_voucher.png,Can be exchanged for an SSR Support Card of your choice from the list.,Obtaining an SSR support card of your choice from the 1.5th Anniversary support card pool,Mission reward|Limited purchase during the 1.5th anniversary,,178,
m_c_nambu_hai_winner_s_sash,M.C. Nambu Hai Winner's Sash,m_c_nambu_hai_winner_s_sash.png,Proof of winning the dirt G1 M.C. Nambu Hai. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Mile CS Nambu Hai race|Bought with Circle Points|Bought in Tazuna's Daily Shop,,179,
ornament,Ornament,ornament.png,Ornaments used to decorate the tree in Sparkly Magic Show.,Earning various rewards from the KIRARA MAGIC SHOW event,Playing during the KIRARA MAGIC SHOW event,,189,
gallery_key,Gallery Key,gallery_key.png,A key that can be used in the Archive's Gallery to unlock your memories with an Umamusume.,Unlocking entries in the horsegirl directory,Bought with Friend Points,,190,
3_make_debut_scout_race_3,3★ Make Debut Scout Race 3,3_make_debut_scout_race_3.png,"A ticket that can be used for scouting Trainees released before Nov 9, 2026. Can be used from the Scout list.","One pull from the ★3 guaranteed ""Make Debut 3R"" character gacha",Promo codes,,191,
ssr_make_debut_scout_race_3,SSR Make Debut Scout Race 3,ssr_make_debut_scout_race_3.png,"A ticket that can be used for scouting Support Cards released before Nov 9, 2026. Can be used from the Scout list.","One pull from the SSR guaranteed ""Make Debut 3R"" character gacha",Promo codes,,192,
2_make_debut_scout_race_3,2★+ Make Debut Scout Race 3,2_make_debut_scout_race_3.png,"A ticket that can be used for scouting Trainees released before Nov 9, 2026. Can be used from the Scout list.","One pull from the ★2 or above guaranteed ""Make Debut 3R"" character gacha",Limited events,,193,
sr_make_debut_scout_race_3,SR+ Make Debut Scout Race 3,sr_make_debut_scout_race_3.png,"A ticket that can be used for scouting Support Cards released before Nov 9, 2026. Can be used from the Scout list.","One pull from the SR or above guaranteed ""Make Debut 3R"" character gacha",Limited events,,194,
spark_research_report,Spark Research Report,spark_research_report.png,A Spark research report created by Agnes Tachyon. Can be used for Spark Enhancement.,"Raising the number of stars for a Stat, Aptitude or Unique Skill spark by one (maximum 3)","Playing during ""Agnes Tachyon's Spark Research"" events",,195,
2nd_anniversary_3_voucher,2nd Anniversary 3★ Voucher,2nd_anniversary_3_voucher.png,Can be exchanged for a 3★ Trainee of your choice from the list.,Obtaining a ★3 character of your choice from the 2nd Anniversary character pool (all up to Dec 31 2022),Limited purchase during the 2nd anniversary,,196,
2nd_anniversary_ssr_voucher,2nd Anniversary SSR Voucher,2nd_anniversary_ssr_voucher.png,Can be exchanged for an SSR Support Card of your choice from the list.,Obtaining an SSR support card of your choice from the 2nd Anniversary support card pool (all up to Dec 31 2022),Limited purchase during the 2nd anniversary,,197,
entry_ticket,Entry Ticket,entry_ticket.png,A ticket for entry in the Champions Meeting. Does not carry over to the next event.,Participating in the first 2 rounds of the Champions Meeting,Automatically obtained at noon (server time) when the Champions Meeting is underway|Champions Meeting daily mission|Bought with carats,,198,
2_5th_anniversary_3_exchange_ticket,2.5th Anniversary ★3 Exchange Ticket,2_5th_anniversary_3_exchange_ticket.png,A voucher that can be exchanged for a ★3 character of your liking from a list.,Obtaining a ★3 character of your choice from the 2.5th Anniversary character pool,Limited purchase during the 2.5th anniversary,,204,
2_5th_anniversary_ssr_exchange_ticket,2.5th Anniversary SSR Exchange Ticket,2_5th_anniversary_ssr_exchange_ticket.png,A voucher that can be exchanged for a SSR support card of your liking from a list.,Obtaining an SSR Support card of your choice from the 2.5th Anniversary support card pool,Limited purchase during the 2.5th anniversary,,205,
novice_trainer_support_3_exchange_ticket,Novice Trainer Support ★3 Exchange Ticket,novice_trainer_support_3_exchange_ticket.png,A voucher that can be exchanged for a ★3 character of your liking from a list.,Obtaining a ★3 character of your choice,Limited purchase,,206,
