character_slug,title,requirement,sort_order
eishin-flash-meisterschaft,Blinding Flash,Win the Tokyo Yushun (Japanese Derby) as a Late Surger,1
eishin-flash-meisterschaft,Blinding Flash,Win the Tenno Sho (Autumn) as a Late Surger,2
eishin-flash-meisterschaft,Blinding Flash,Complete the Career with the Fast Learner condition,3
eishin-flash-collectchocolatier,Blinding Flash,Win the Tokyo Yushun (Japanese Derby) as a Late Surger,1
eishin-flash-collectchocolatier,Blinding Flash,Win the Tenno Sho (Autumn) as a Late Surger,2
eishin-flash-collectchocolatier,Blinding Flash,Complete the Career with the Fast Learner condition,3
winning-ticket-go-to-winning,Herald of a New Age,Win the Yayoi Sho as the most popular,1
winning-ticket-go-to-winning,Herald of a New Age,Win the Satsuki Sho as the most popular,2
winning-ticket-go-to-winning,Herald of a New Age,Win the Tokyo Yushun (Japanese Derby) as the most popular,3
winning-ticket-go-to-winning,Herald of a New Age,Win the Kikuka Sho as the most popular,4
winning-ticket-go-to-winning,Herald of a New Age,Win the [[race|102301|2]],5
winning-ticket-go-to-winning,Herald of a New Age,Earn a total of at least 240000 fans,6
winning-ticket-dream-deliverer,Herald of a New Age,Win the Yayoi Sho as the most popular,1
winning-ticket-dream-deliverer,Herald of a New Age,Win the Satsuki Sho as the most popular,2
winning-ticket-dream-deliverer,Herald of a New Age,Win the Tokyo Yushun (Japanese Derby) as the most popular,3
winning-ticket-dream-deliverer,Herald of a New Age,Win the Kikuka Sho as the most popular,4
winning-ticket-dream-deliverer,Herald of a New Age,Win the [[race|102301|2]],5
winning-ticket-dream-deliverer,Herald of a New Age,Earn a total of at least 240000 fans,6
agnes-tachyon-tach-nology,Faster than Light,Inherit memories from a parent with at least S rank,1
agnes-tachyon-tach-nology,Faster than Light,"Win the Hopeful Stakes, Yayoi Sho, and Satsuki Sho without losing any other races",2
agnes-tachyon-tach-nology,Faster than Light,Reach 1200 or more Speed,3
special-week-special-dreamer,Ruler of Japan,Win the Tokyo Yushun (Japanese Derby) with a difference of at least 5 lengths while also being the most popular,1
special-week-special-dreamer,Ruler of Japan,Win the Tenno Sho (Spring),2
special-week-special-dreamer,Ruler of Japan,Win the Tenno Sho (Autumn),3
special-week-special-dreamer,Ruler of Japan,Win the Japan Cup,4
special-week-hopping-vitamin-heart,Ruler of Japan,Win the Tokyo Yushun (Japanese Derby) with a difference of at least 5 lengths while also being the most popular,1
special-week-hopping-vitamin-heart,Ruler of Japan,Win the Tenno Sho (Spring),2
special-week-hopping-vitamin-heart,Ruler of Japan,Win the Tenno Sho (Autumn),3
special-week-hopping-vitamin-heart,Ruler of Japan,Win the Japan Cup,4
special-week-supreme-commander-of-the-rising-sun,Ruler of Japan,Win the Tokyo Yushun (Japanese Derby) with a difference of at least 5 lengths while also being the most popular,1
special-week-supreme-commander-of-the-rising-sun,Ruler of Japan,Win the Tenno Sho (Spring),2
special-week-supreme-commander-of-the-rising-sun,Ruler of Japan,Win the Tenno Sho (Autumn),3
special-week-supreme-commander-of-the-rising-sun,Ruler of Japan,Win the Japan Cup,4
silence-suzuka-silent-innocence,Otherworldly Front-Runner,"Without losing any races inbetween, win at least 6 graded races while using the Front Runner strategy and being the most popular, with one of them being the Takarazuka Kinen",1
silence-suzuka-silent-innocence,Otherworldly Front-Runner,Win the Takarazuka Kinen while staying in the lead from the 200m mark to the goal line,2
el-condor-pasa-el-numero-1,Phantom Bird,Finish 2nd or better in every race,1
el-condor-pasa-el-numero-1,Phantom Bird,Win the [[race|101901|2]] as a Pace Chaser,2
el-condor-pasa-el-numero-1,Phantom Bird,Earn a total of at least 320000 fans,3
el-condor-pasa-el-numero-1,Phantom Bird,Complete the Career,4
el-condor-pasa-kukulkan-monk,Phantom Bird,Finish 2nd or better in every race,1
el-condor-pasa-kukulkan-monk,Phantom Bird,Win the [[race|101901|2]] as a Pace Chaser,2
el-condor-pasa-kukulkan-monk,Phantom Bird,Earn a total of at least 320000 fans,3
el-condor-pasa-kukulkan-monk,Phantom Bird,Complete the Career,4
maruzensky-rouge-formula,Hot Rod,Win 8 consecutive races while being undefeated,1
maruzensky-rouge-formula,Hot Rod,Have an average win length difference of at least 7 lengths,2
maruzensky-blasting-off-summer-night,Hot Rod,Win 8 consecutive races while being undefeated,1
maruzensky-blasting-off-summer-night,Hot Rod,Have an average win length difference of at least 7 lengths,2
mayano-top-gun-scramble-zone,Free Spirit,Win a G1 race as a Front Runner,1
mayano-top-gun-scramble-zone,Free Spirit,Win a G1 race as a Pace Chaser,2
mayano-top-gun-scramble-zone,Free Spirit,Win a G1 race as a Late Surger,3
mayano-top-gun-scramble-zone,Free Spirit,Win a G1 race as a End Closer,4
mayano-top-gun-sunlight-bouquet,Free Spirit,Win a G1 race as a Front Runner,1
mayano-top-gun-sunlight-bouquet,Free Spirit,Win a G1 race as a Pace Chaser,2
mayano-top-gun-sunlight-bouquet,Free Spirit,Win a G1 race as a Late Surger,3
mayano-top-gun-sunlight-bouquet,Free Spirit,Win a G1 race as a End Closer,4
sakura-bakushin-o-sakura-forward,Bakushin King,Win 11 races with a length of 1400m or lower,1
sakura-bakushin-o-sakura-forward,Bakushin King,Win the [[race|101301|3]] with a difference of at least 4 lengths while being the most popular,2
super-creek-murmuring-stream,Speedy Stayer,Win the Kikuka Sho with difference of at least 5 lengths,1
super-creek-murmuring-stream,Speedy Stayer,"Win 6 graded races with a length of 2400m or higher, including the Tenno Sho (Spring)",2
super-creek-chiffon-ribbon-mummy,Speedy Stayer,Win the Kikuka Sho with difference of at least 5 lengths,1
super-creek-chiffon-ribbon-mummy,Speedy Stayer,"Win 6 graded races with a length of 2400m or higher, including the Tenno Sho (Spring)",2
grass-wonder-rock-piercing-blue,Phoenix,Win the Asahi Hai Futurity Stakes with a Mood level of Good or lower,1
grass-wonder-rock-piercing-blue,Phoenix,Win the [[race|102301|2]] with a Mood level of Good or lower,2
grass-wonder-rock-piercing-blue,Phoenix,Win the [[race|101201|3]] with a Mood level of Good or lower,3
grass-wonder-rock-piercing-blue,Phoenix,Win the [[race|102301|3]] with a Mood level of Good or lower,4
grass-wonder-saint-jade-healer,Phoenix,Win the Asahi Hai Futurity Stakes with a Mood level of Good or lower,1
grass-wonder-saint-jade-healer,Phoenix,Win the [[race|102301|2]] with a Mood level of Good or lower,2
grass-wonder-saint-jade-healer,Phoenix,Win the [[race|101201|3]] with a Mood level of Good or lower,3
grass-wonder-saint-jade-healer,Phoenix,Win the [[race|102301|3]] with a Mood level of Good or lower,4
vodka-wild-top-gear,Extraordinary Empress,"Win 7 G1 races, including the Tokyo Yushun (Japanese Derby), Yasuda Kinen, Japan Cup, Tenno Sho (Autumn), and Victoria Mile",1
daiwa-scarlet-top-of-blue,Miss Perfect,Inherit memories from a parent that won the Satsuki Sho,1
daiwa-scarlet-top-of-blue,Miss Perfect,Finish 2nd or better in every race you participate in,2
daiwa-scarlet-top-of-blue,Miss Perfect,"Win 10 graded races, including the Oka Sho, Shuka Sho and Queen Elizabeth II Cup",3
tokai-teio-top-of-joyful,Monarch,Inherit memories from a parent that won at least 7 G1 races,1
tokai-teio-top-of-joyful,Monarch,Be the most popular in at least 4 G1 races,2
tokai-teio-top-of-joyful,Monarch,Win the Satsuki Sho and Tokyo Yushun (Japanese Derby) while being undefeated,3
tokai-teio-top-of-joyful,Monarch,Win the [[race|102301|3]],4
tokai-teio-beyond-the-horizon,Monarch,Inherit memories from a parent that won at least 7 G1 races,1
tokai-teio-beyond-the-horizon,Monarch,Be the most popular in at least 4 G1 races,2
tokai-teio-beyond-the-horizon,Monarch,Win the Satsuki Sho and Tokyo Yushun (Japanese Derby) while being undefeated,3
tokai-teio-beyond-the-horizon,Monarch,Win the [[race|102301|3]],4
gold-ship-red-strife,Unpredictable,"Win at least 6 G1 races, including the Satsuki Sho, Kikuka Sho, and Takarazuka Kinen",1
gold-ship-red-strife,Unpredictable,Earn a total of at least 480000 fans,2
gold-ship-run-fun-watergun,Unpredictable,"Win at least 6 G1 races, including the Satsuki Sho, Kikuka Sho, and Takarazuka Kinen",1
gold-ship-run-fun-watergun,Unpredictable,Earn a total of at least 480000 fans,2
symboli-rudolf-road-of-emperor,Emperor,"Win the Satsuki Sho, Tokyo Yushun (Japanese Derby) and Kikuka Sho while being undefeated",1
symboli-rudolf-road-of-emperor,Emperor,Win the Japan Cup,2
symboli-rudolf-road-of-emperor,Emperor,Win the Tenno Sho (Spring),3
symboli-rudolf-road-of-emperor,Emperor,Win the Arima Kinen twice,4
symboli-rudolf-archer-of-the-white-moon,Emperor,"Win the Satsuki Sho, Tokyo Yushun (Japanese Derby) and Kikuka Sho while being undefeated",1
symboli-rudolf-archer-of-the-white-moon,Emperor,Win the Japan Cup,2
symboli-rudolf-archer-of-the-white-moon,Emperor,Win the Tenno Sho (Spring),3
symboli-rudolf-archer-of-the-white-moon,Emperor,Win the Arima Kinen twice,4
matikanefukukitaru-rising-luck-flood-of-happiness,Fortune's Smile,Participate in at least 15 G1 or G2 races with a Mood level of Perfect,1
matikanefukukitaru-rising-luck-flood-of-happiness,Fortune's Smile,"Win at least 3 G2 or higher races in a row, including the Kikuka Sho",2
matikanefukukitaru-good-omenfirst-storm,Fortune's Smile,Participate in at least 15 G1 or G2 races with a Mood level of Perfect,1
matikanefukukitaru-good-omenfirst-storm,Fortune's Smile,"Win at least 3 G2 or higher races in a row, including the Kikuka Sho",2
fuji-kiseki-shooting-star-revue,Enchanting Triple Crown,Win the Make Debut with a difference of at least 8 lengths,1
fuji-kiseki-shooting-star-revue,Enchanting Triple Crown,Win the Asahi Hai Futurity Stakes as the most popular,2
fuji-kiseki-shooting-star-revue,Enchanting Triple Crown,Win the Satsuki Sho as the most popular,3
fuji-kiseki-shooting-star-revue,Enchanting Triple Crown,Win the Tokyo Yushun (Japanese Derby) as the most popular,4
fuji-kiseki-shooting-star-revue,Enchanting Triple Crown,Win the Kikuka Sho as the most popular,5
fuji-kiseki-succes-etoile,Enchanting Triple Crown,Win the Make Debut with a difference of at least 8 lengths,1
fuji-kiseki-succes-etoile,Enchanting Triple Crown,Win the Asahi Hai Futurity Stakes as the most popular,2
fuji-kiseki-succes-etoile,Enchanting Triple Crown,Win the Satsuki Sho as the most popular,3
fuji-kiseki-succes-etoile,Enchanting Triple Crown,Win the Tokyo Yushun (Japanese Derby) as the most popular,4
fuji-kiseki-succes-etoile,Enchanting Triple Crown,Win the Kikuka Sho as the most popular,5
nice-nature-poinsettia-ribbon,Supporting Star,Finish 3rd in at least 3 G1 races,1
nice-nature-poinsettia-ribbon,Supporting Star,Earn a total of at least 320000 fans,2
nice-nature-run-win,Supporting Star,Finish 3rd in at least 3 G1 races,1
nice-nature-run-win,Supporting Star,Earn a total of at least 320000 fans,2
mejiro-ryan-straight-line,Mesmerizing Muscle,Win a G1 race against a Mejiro at least once,1
mejiro-ryan-straight-line,Mesmerizing Muscle,Win the Kikuka Sho,2
mejiro-ryan-straight-line,Mesmerizing Muscle,Win the Takarazuka Kinen,3
mejiro-ryan-straight-line,Mesmerizing Muscle,Win the Arima Kinen,4
mejiro-ryan-straight-line,Mesmerizing Muscle,Earn a total of at least 240000 fans,5
taiki-shuttle-wild-frontier,Mightiest Miler,"Win 5 graded races, including the Unicorn Stakes and Yasuda Kinen, with one of them being in rainy weather",1
taiki-shuttle-wild-frontier,Mightiest Miler,Win the Mile Championship with a difference of at least 5 lengths,2
taiki-shuttle-bubblegum-memories,Mightiest Miler,"Win 5 graded races, including the Unicorn Stakes and Yasuda Kinen, with one of them being in rainy weather",1
taiki-shuttle-bubblegum-memories,Mightiest Miler,Win the Mile Championship with a difference of at least 5 lengths,2
oguri-cap-starlight-beat,Ideal Idol,Participate in at least 6 G1 races while being the 1st popular,1
oguri-cap-starlight-beat,Ideal Idol,Win the Mile Championship,2
oguri-cap-starlight-beat,Ideal Idol,Win the Yasuda Kinen,3
oguri-cap-starlight-beat,Ideal Idol,Win the Arima Kinen,4
oguri-cap-starlight-beat,Ideal Idol,Earn a total of at least 240000 fans,5
oguri-cap-miraculous-white-star,Ideal Idol,Participate in at least 6 G1 races while being the 1st popular,1
oguri-cap-miraculous-white-star,Ideal Idol,Win the Mile Championship,2
oguri-cap-miraculous-white-star,Ideal Idol,Win the Yasuda Kinen,3
oguri-cap-miraculous-white-star,Ideal Idol,Win the Arima Kinen,4
oguri-cap-miraculous-white-star,Ideal Idol,Earn a total of at least 240000 fans,5
hishi-amazon-amazoness-lapis,Queen of the Amazons,"Without losing any races inbetween, win at least 6 graded races in which you are the most popular as a End Closer, and overtake 5 others on the last straight in at least 2 of them",1
tm-opera-o-o-sole-so,Centurial Overlord,"Without losing any races inbetween, win at least 8 races including the Tenno Sho (Spring), Takarazuka Kinen, Tenno Sho (Autumn), Japan Cup, and Arima Kinen",1
tm-opera-o-blue-dazzle,Centurial Overlord,"Without losing any races inbetween, win at least 8 races including the Tenno Sho (Spring), Takarazuka Kinen, Tenno Sho (Autumn), Japan Cup, and Arima Kinen",1
mihono-bourbon-mb-19890425,Incline Invicta,"Win the Asahi Hai Futurity Stakes, Satsuki Sho, and Tokyo Yushun (Japanese Derby) while being undefeated and the most popular as a Front Runner",1
mihono-bourbon-mb-19890425,Incline Invicta,Reach 1200 or more Stamina,2
mihono-bourbon-code-glacage,Incline Invicta,"Win the Asahi Hai Futurity Stakes, Satsuki Sho, and Tokyo Yushun (Japanese Derby) while being undefeated and the most popular as a Front Runner",1
mihono-bourbon-code-glacage,Incline Invicta,Reach 1200 or more Stamina,2
smart-falcon-absolute-love,Sand Falcon,"Without losing any races inbetween, win at least 9 dirt graded races as a Front Runner, including the JBC Classic, Teio Sho, and Tokyo Daishoten",1
smart-falcon-twilight-triumph,Sand Falcon,"Without losing any races inbetween, win at least 9 dirt graded races as a Front Runner, including the JBC Classic, Teio Sho, and Tokyo Daishoten",1
curren-chan-fille-eclair,Sprint Sweetheart,"Win at least 9 races with a length of of 1200m, including the Sprinters Stakes and Takamatsunomiya Kinen",1
curren-chan-fille-eclair,Sprint Sweetheart,Earn a total of at least 240000 fans,2
curren-chan-ma-cherie,Sprint Sweetheart,"Win at least 9 races with a length of of 1200m, including the Sprinters Stakes and Takamatsunomiya Kinen",1
curren-chan-ma-cherie,Sprint Sweetheart,Earn a total of at least 240000 fans,2
king-halo-king-of-emeralds,Generation King,Inherit memories from a parent whose parents won a total of at least 11 G1 races,1
king-halo-king-of-emeralds,Generation King,Place higher than Special Week 3 times,2
king-halo-king-of-emeralds,Generation King,Place higher than Seiun Sky 3 times,3
king-halo-king-of-emeralds,Generation King,Place higher than Grass Wonder 3 times,4
king-halo-king-of-emeralds,Generation King,Place higher than El Condor Pasa 3 times,5
king-halo-noble-white-cheer-attire,Generation King,Inherit memories from a parent whose parents won a total of at least 11 G1 races,1
king-halo-noble-white-cheer-attire,Generation King,Place higher than Special Week 3 times,2
king-halo-noble-white-cheer-attire,Generation King,Place higher than Seiun Sky 3 times,3
king-halo-noble-white-cheer-attire,Generation King,Place higher than Grass Wonder 3 times,4
king-halo-noble-white-cheer-attire,Generation King,Place higher than El Condor Pasa 3 times,5
mejiro-mcqueen-elegance-line,Best Actress,Win the Kikuka Sho,1
mejiro-mcqueen-elegance-line,Best Actress,Win the Tenno Sho (Spring),2
mejiro-mcqueen-elegance-line,Best Actress,Reach 1200 or more Stamina,3
mejiro-mcqueen-elegance-line,Best Actress,Earn a total of at least 320000 fans,4
mejiro-mcqueen-end-of-sky,Best Actress,Win the Kikuka Sho,1
mejiro-mcqueen-end-of-sky,Best Actress,Win the Tenno Sho (Spring),2
mejiro-mcqueen-end-of-sky,Best Actress,Reach 1200 or more Stamina,3
mejiro-mcqueen-end-of-sky,Best Actress,Earn a total of at least 320000 fans,4
mejiro-mcqueen-fair-lady-of-the-waves,Best Actress,Win the Kikuka Sho,1
mejiro-mcqueen-fair-lady-of-the-waves,Best Actress,Win the Tenno Sho (Spring),2
mejiro-mcqueen-fair-lady-of-the-waves,Best Actress,Reach 1200 or more Stamina,3
mejiro-mcqueen-fair-lady-of-the-waves,Best Actress,Earn a total of at least 320000 fans,4
biwa-hayahide-pf-victory-formula,Victory Derived,Finish 2nd or better in every race you participate in,1
biwa-hayahide-pf-victory-formula,Victory Derived,Win the Kikuka Sho,2
biwa-hayahide-pf-victory-formula,Victory Derived,Win the Tenno Sho (Spring),3
biwa-hayahide-pf-victory-formula,Victory Derived,Win the Takarazuka Kinen,4
biwa-hayahide-pf-victory-formula,Victory Derived,Clear all training objectives,5
biwa-hayahide-pf-victory-formula,Victory Derived,Complete the Career,6
biwa-hayahide-noel-rouge-carol,Victory Derived,Finish 2nd or better in every race you participate in,1
biwa-hayahide-noel-rouge-carol,Victory Derived,Win the Kikuka Sho,2
biwa-hayahide-noel-rouge-carol,Victory Derived,Win the Tenno Sho (Spring),3
biwa-hayahide-noel-rouge-carol,Victory Derived,Win the Takarazuka Kinen,4
biwa-hayahide-noel-rouge-carol,Victory Derived,Clear all training objectives,5
biwa-hayahide-noel-rouge-carol,Victory Derived,Complete the Career,6
narita-taishin-nevertheless,Comeback Champion,"Win the Satsuki Sho as a End Closer, overtaking at least 4 people in the last straight",1
narita-taishin-nevertheless,Comeback Champion,Win the Tenno Sho (Spring) as a End Closer,2
narita-taishin-nevertheless,Comeback Champion,Reach 1200 or more Guts,3
narita-taishin-difference-engineer,Comeback Champion,"Win the Satsuki Sho as a End Closer, overtaking at least 4 people in the last straight",1
narita-taishin-difference-engineer,Comeback Champion,Win the Tenno Sho (Spring) as a End Closer,2
narita-taishin-difference-engineer,Comeback Champion,Reach 1200 or more Guts,3
narita-brian-maverick,Monster in the Shadows,Win the Satsuki Sho with a difference of at least 3 1/2 lengths,1
narita-brian-maverick,Monster in the Shadows,Win the Tokyo Yushun (Japanese Derby) with a difference of at least 5 lengths,2
narita-brian-maverick,Monster in the Shadows,Win the Kikuka Sho with a difference of at least 7 lengths,3
narita-brian-maverick,Monster in the Shadows,Win the Arima Kinen twice,4
seiun-sky-blue-cloud-thumbing,Trickster,Win the Satsuki Sho as a Front Runner,1
seiun-sky-blue-cloud-thumbing,Trickster,Win the Kikuka Sho as a Front Runner while staying in the lead from the 200m mark to the goal line,2
seiun-sky-blue-cloud-thumbing,Trickster,Win the [[race|102301|2]] as a Front Runner,3
seiun-sky-blue-cloud-thumbing,Trickster,Win the Tenno Sho (Spring) as a Front Runner,4
seiun-sky-soiree-de-chaton,Trickster,Win the Satsuki Sho as a Front Runner,1
seiun-sky-soiree-de-chaton,Trickster,Win the Kikuka Sho as a Front Runner while staying in the lead from the 200m mark to the goal line,2
seiun-sky-soiree-de-chaton,Trickster,Win the [[race|102301|2]] as a Front Runner,3
seiun-sky-soiree-de-chaton,Trickster,Win the Tenno Sho (Spring) as a Front Runner,4
meisho-doto-blue-raging,Unrelenting Challenger,"Without losing any races inbetween, win 9 or more graded races including the Tenno Sho (Spring), Takarazuka Kinen and Arima Kinen",1
meisho-doto-dot-o-lantern,Unrelenting Challenger,"Without losing any races inbetween, win 9 or more graded races including the Tenno Sho (Spring), Takarazuka Kinen and Arima Kinen",1
hishi-akebono-bono-alla-moda,Colossus,Win the Yasuda Kinen,1
hishi-akebono-bono-alla-moda,Colossus,Win the Mile Championship,2
hishi-akebono-bono-alla-moda,Colossus,Win the Sprinters Stakes twice,3
hishi-akebono-bono-alla-moda,Colossus,Reach 1200 or more Power,4
agnes-digital-super-express-full-color-special,All-Around Otaku,Win the Japan Dirt Derby,1
agnes-digital-super-express-full-color-special,All-Around Otaku,Win the Mile Championship,2
agnes-digital-super-express-full-color-special,All-Around Otaku,Win the February Stakes,3
agnes-digital-super-express-full-color-special,All-Around Otaku,Win the Yasuda Kinen,4
agnes-digital-super-express-full-color-special,All-Around Otaku,Win the Tenno Sho (Autumn),5
agnes-digital-super-express-full-color-special,All-Around Otaku,Win the [[race|102301|3]],6
agnes-digital-agnesjiangshi,All-Around Otaku,Win the Japan Dirt Derby,1
agnes-digital-agnesjiangshi,All-Around Otaku,Win the Mile Championship,2
agnes-digital-agnesjiangshi,All-Around Otaku,Win the February Stakes,3
agnes-digital-agnesjiangshi,All-Around Otaku,Win the Yasuda Kinen,4
agnes-digital-agnesjiangshi,All-Around Otaku,Win the Tenno Sho (Autumn),5
agnes-digital-agnesjiangshi,All-Around Otaku,Win the [[race|102301|3]],6
kawakami-princess-princess-of-pink,Precocious Princess,Inherit the memories of a parent who won the Takamatsunomiya Kinen,1
kawakami-princess-princess-of-pink,Precocious Princess,"Win the Japanese Oaks, Shuka Sho and Queen Elizabeth II Cup while being undefeated",2
manhattan-cafe-creeping-black,Looming Shadow,Win the Kikuka Sho as a Late Surger,1
manhattan-cafe-creeping-black,Looming Shadow,Win the Arima Kinen twice as a Late Surger,2
manhattan-cafe-creeping-black,Looming Shadow,Win the Tenno Sho (Spring) as a Late Surger,3
manhattan-cafe-creeping-black,Looming Shadow,Reach 1200 or more Stamina,4
tosen-jordan-pop-joker,L Hater,Win the Japan Cup,1
tosen-jordan-pop-joker,L Hater,Win the Tenno Sho (Spring),2
tosen-jordan-pop-joker,L Hater,Win the Tenno Sho (Autumn) with a Mood level of Perfect twice,3
tosen-jordan-pop-joker,L Hater,Win against [[character|1007]] at least 3 times,4
mejiro-dober-twisted-line,Coolheaded Beauty,Win the Hanshin Juvenile Fillies as a Late Surger while being most popular,1
mejiro-dober-twisted-line,Coolheaded Beauty,Win the Oka Sho as a Late Surger while being most popular,2
mejiro-dober-twisted-line,Coolheaded Beauty,Win the Japanese Oaks as a Late Surger while being most popular,3
mejiro-dober-twisted-line,Coolheaded Beauty,Win the Shuka Sho as a Late Surger while being most popular,4
mejiro-dober-twisted-line,Coolheaded Beauty,Win the Queen Elizabeth II Cup twice,5
mejiro-dober-twisted-line,Coolheaded Beauty,Earn a total of at least 240000 fans,6
mejiro-dober-vacances-saphir,Coolheaded Beauty,Win the Hanshin Juvenile Fillies as a Late Surger while being most popular,1
mejiro-dober-vacances-saphir,Coolheaded Beauty,Win the Oka Sho as a Late Surger while being most popular,2
mejiro-dober-vacances-saphir,Coolheaded Beauty,Win the Japanese Oaks as a Late Surger while being most popular,3
mejiro-dober-vacances-saphir,Coolheaded Beauty,Win the Shuka Sho as a Late Surger while being most popular,4
mejiro-dober-vacances-saphir,Coolheaded Beauty,Win the Queen Elizabeth II Cup twice,5
mejiro-dober-vacances-saphir,Coolheaded Beauty,Earn a total of at least 240000 fans,6
fine-motion-noble-seamair,Capricious Clover,"Win the Shuka Sho, Queen Elizabeth II Cup, and [[race|102301|2]] while being undefeated and most popular",1
fine-motion-noble-seamair,Capricious Clover,Win the Shuka Sho with a difference of at least 3 1/2 lengths,2
fine-motion-titania,Capricious Clover,"Win the Shuka Sho, Queen Elizabeth II Cup, and [[race|102301|2]] while being undefeated and most popular",1
fine-motion-titania,Capricious Clover,Win the Shuka Sho with a difference of at least 3 1/2 lengths,2
tamamo-cross-with-lightning-speed,Now That's White Lightning!,"Win at least 8 graded races, including the Tenno Sho (Spring), [[race|101201|3]], [[race|101601|3]]",1
tamamo-cross-with-lightning-speed,Now That's White Lightning!,Earn a total of at least 240000 fans,2
tamamo-cross-ferocious-thunder,Now That's White Lightning!,"Win at least 8 graded races, including the Tenno Sho (Spring), [[race|101201|3]], [[race|101601|3]]",1
tamamo-cross-ferocious-thunder,Now That's White Lightning!,Earn a total of at least 240000 fans,2
sakura-chiyono-o-hinoshita-kaisanhana-akari,Blooming Sakura,Inherit the memories of a parent who won the Asahi Hai Futurity Stakes and reached 1200 or more speed,1
sakura-chiyono-o-hinoshita-kaisanhana-akari,Blooming Sakura,"Win the Asahi Hai Futurity Stakes, Satsuki Sho, Tokyo Yushun (Japanese Derby), and Japan Cup.",2
mejiro-ardan-clinochlore-line,Unbreakable,"Win the Tokyo Yushun (Japanese Derby), and the Tenno Sho (Autumn) twice",1
mejiro-ardan-clinochlore-line,Unbreakable,Enter every race with a Mood level of Perfect,2
mejiro-ardan-clinochlore-line,Unbreakable,Don't fail a single training,3
admire-vega-starry-nocturne,Brightest Star,"Win the Satsuki Sho, Tokyo Yushun (Japanese Derby) and Takarazuka Kinen as most popular",1
admire-vega-starry-nocturne,Brightest Star,Place higher than TM Opera O at least 3 times,2
admire-vega-starry-nocturne,Brightest Star,Place higher than Narita Top Road at least 3 times,3
admire-vega-starry-nocturne,Brightest Star,Place higher than Meisho Doto at least 3 times,4
matikanetannhauser-pan-paka-tiru-toto,Talent Takes Time,Participate in 12 or more G1 races,1
matikanetannhauser-pan-paka-tiru-toto,Talent Takes Time,"Win at least 4 graded races of 2500m or longer, including the Kikuka Sho and [[race|102301|3]]",2
kitasan-black-crowning-ooban,Bring Down the House,"Win 7 or more G1 races, including the Kikuka Sho, Tenno Sho (Spring), Takarazuka Kinen, [[race|101601|3]] and [[race|102301|3]]",1
kitasan-black-crowning-ooban,Bring Down the House,Earn a total of at least 480000 fans,2
satono-diamond-natural-brilliance,Gem of Dreams,Inherit memories of a parent with training rank S or higher,1
satono-diamond-natural-brilliance,Gem of Dreams,Win the Kikuka Sho,2
satono-diamond-natural-brilliance,Gem of Dreams,Win the Tenno Sho (Spring),3
satono-diamond-natural-brilliance,Gem of Dreams,Win the [[race|101901|3]],4
satono-diamond-natural-brilliance,Gem of Dreams,Win the Arima Kinen twice,5
mejiro-bright-brunissage-line,Stress-Free Stayer,Inherit memories from parents carrying the Mejiro name,1
mejiro-bright-brunissage-line,Stress-Free Stayer,"Win at least 4 G2 or G1 races with a length of 3000m or more, one of them being the Tenno Sho (Spring)",2
